file_name,region_label,area,bbox_area,extent,perimeter,convex_area,solidity,eccentricity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,filled_area,euler_number,holes_count,green_mean,green_std,green_median,green_min,green_max,green_range,green_cv,smoothness,uniformity,label
3K_DOX_DAY1_SCR_LTX_63X_03,5,321.0,360.0,0.8916666666666667,64.97056274847714,329.0,0.9756838905775076,0.43234996086766386,20.216574731145414,21.4300633100928,19.323614301192563,-0.2636002704191462,321.0,1,0,61773.26168224299,6106.647793783165,65386.0,33431.0,65535.0,32104.0,0.09885584195303304,0.9999999731839848,0.003145708652611349,solid
3K_DOX_DAY1_SCR_LTX_63X_03,6,362.0,440.0,0.8227272727272728,68.2842712474619,368.0,0.9836956521739131,0.5687104658011556,21.468877828012552,23.72474101517867,19.514495900319222,0.4979648348185558,362.0,1,0,60993.941988950275,8294.573064016875,65535.0,31478.0,65535.0,34057.0,0.13599011301023187,0.9999999854651043,0.0028135174332500987,solid
3K_DOX_DAY1_SCR_LTX_63X_03,7,295.0,357.0,0.8263305322128851,62.627416997969526,304.0,0.9703947368421053,0.5885332369168782,19.38054864282415,21.582185280187442,17.448614578092794,-0.058900627406096986,295.0,1,0,60000.45084745763,8832.095394319724,65535.0,32617.0,65535.0,32918.0,0.14720048382259718,0.9999999871804585,0.0034632812963986672,solid
3K_DOX_DAY1_SCR_LTX_63X_03,8,58.0,70.0,0.8285714285714286,25.31370849898476,58.0,1.0,0.6900184864162554,8.593479713983122,10.055021048006914,7.277741218357472,0.0,58.0,1,0,29179.120689655174,8678.260160681315,27995.5,14038.0,46718.0,32680.0,0.29741335432900845,0.9999999867219389,0.01876646040229711,solid
3K_DOX_DAY1_SCR_LTX_63X_03,9,149.0,165.0,0.9030303030303031,43.31370849898476,150.0,0.9933333333333333,0.7048037552910232,13.773623058786647,16.434024934552156,11.658335588168805,-1.3312774584977343,149.0,1,0,47245.68456375839,15249.137660770994,47354.0,20066.0,65535.0,45469.0,0.3227625507297322,0.9999999956995943,0.0074105749272051205,solid
3K_DOX_DAY1_SCR_LTX_63X_04,2,52.0,64.0,0.8125,23.899494936611667,53.0,0.9811320754716981,0.6337068528204051,8.136857890256438,9.22872671892731,7.139096428954676,-0.7263536051013849,52.0,1,0,32888.88461538462,6484.442591114183,33334.5,16579.0,44782.0,28203.0,0.19716213142968428,0.9999999762176541,0.019978325116728774,solid
3K_DOX_DAY1_SCR_LTX_63X_04,3,114.0,130.0,0.8769230769230769,37.31370849898476,116.0,0.9827586206896551,0.6313771766212178,12.047792665040703,13.70435702224166,10.627398501737044,-1.4618310661200133,114.0,1,0,38728.92105263158,12182.455369386773,35052.0,20648.0,62442.0,41794.0,0.3145570555097866,0.9999999932620104,0.009639878431324446,solid
3K_DOX_DAY1_SCR_LTX_63X_04,5,58.0,72.0,0.8055555555555556,25.899494936611667,59.0,0.9830508474576272,0.6563134375710643,8.593479713983122,9.925077833900602,7.488355607584377,1.0805031131954235,58.0,1,0,39341.120689655174,12518.97223675907,38487.5,19860.0,62555.0,42695.0,0.3182159536205322,0.9999999936193835,0.018987265398941803,solid
3K_DOX_DAY1_SCR_LTX_63X_04,6,708.0,899.0,0.7875417130144605,96.08326112068522,721.0,0.9819694868238558,0.37571454553766304,30.024216853608277,31.23075411923085,28.94264673636911,-1.1230204834744073,708.0,1,0,61748.07203389831,8000.949925887708,65535.0,27432.0,65535.0,38103.0,0.12957408486365962,0.9999999843787102,0.0014361432817348232,solid
3K_DOX_DAY1_SCR_LTX_63X_04,8,86.0,99.0,0.8686868686868687,31.31370849898476,86.0,1.0,0.5921904565376759,10.464157913908982,11.653096491668109,9.390042182169045,-0.268577589397118,86.0,1,0,42027.5,13173.460145439709,39132.5,20619.0,65499.0,44880.0,0.31344857879816096,0.9999999942376415,0.012770348971518453,solid
